Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033322	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033323	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033324	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033325	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033326	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033327	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033328	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033329	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033330	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033331	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033332	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033333	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033334	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033335	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033336	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033337	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033338	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033339	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033340	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033341	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033342	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033343	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033344	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033345	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033346	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033347	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033348	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033349	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033350	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033351	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033352	
Process issue. Check mapping files and reference data 	Holdings id '002128914' not in hold id map.	row 1033353	
